reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2024 (USD Thousand),2025 (USD Thousand)
364,"Iran, Islamic Republic of",000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",21,109833
364,"Iran, Islamic Republic of",699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,109833
364,"Iran, Islamic Republic of",860,Uzbekistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",21,
