reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2024,2024_unit,2025,2025_unit
364,"Iran, Islamic Republic of",000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",28.000,Tons,207601.000,Tons
364,"Iran, Islamic Republic of",699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,207601.000,Tons
364,"Iran, Islamic Republic of",860,Uzbekistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",28.000,Tons,,
